Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AM;1302603;Manaus;847972575,12;928110032,06;1060618068,6;880012045,65;957803964,25;1309982361,99;1685886439,65;1033758109,02;1623770880,65;1872773343,85;2248524214,97;
AM;1302702;Manicoré;17187749,82;7672933,62;10064189,68;6536798,58;5358267,35;6409428,1;12457046,58;12611345,3;29158006,08;29730433,96;46670667,71;
AM;1302801;Maraã;4409416,6;3206748,54;3276385,06;3645153,83;3448499,17;3396568,36;7825727,37;5902784,17;7347276,53;10497805,89;7476947,9;
AM;1302900;Maués;101825,8;70903,84;1877161,03;3835065,79;1840378;8128861,6;30461160,63;6993572;41467665,44;20430939,66;25447878,92;
AM;1303007;Nhamundá;0;4039522,98;3950557,53;2953389,84;4697808,21;5363292,4;9678195,28;7198787,78;8428252,94;15269614,36;11159518,96;
AM;1303106;Nova Olinda do Norte;3117870,3;3890001,34;4268495,56;3792157,19;6378713,02;5223929,88;9166203,55;12634349,5;17121070,78;17017081,78;23631335,94;
AM;1303205;Novo Airão;2767791,33;6107352,75;3341934,79;5606889,31;6540954,5;6953865,71;8968773,05;11009941,78;24496760,53;20590530,85;28705605,12;
AM;1303304;Novo Aripuanã;3245630,29;4884414,88;4874091,46;3906718,82;4607803,81;4994329,37;7006158,94;7852744,9;14343459;14753960,76;12573124,16;
AM;1303403;Parintins;11051924,53;7202300,91;;11923046,6;13735441,76;13687489,82;27389416,71;33238220,43;34287659,66;30390650,57;93722417,4;
AM;1303502;Pauini;;;1527248,55;1652344,93;2425996,06;2789710,57;6554914,82;13075143,24;10246606,12;11633084,66;14186659,96;
AM;1303536;Presidente Figueiredo;16002283,68;14022652,44;15611536,07;14609947,33;14913047,14;13168544,93;25390870,83;33573208,12;34032034,99;38250858,04;41200026,41;
AM;1303569;Rio Preto da Eva;4588932,97;1768393,84;2817909,76;2807231,86;3574537,81;8382499,69;12658025,38;6834452,7;13410697,36;12832210,82;11253621,38;
